Name,Status,Link,Presentation,Availability,Related,Reason
Etomidate Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Etomidate Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Etomidate Injection detail"">Etomidate Injection</a>","2 mg/mL, 20 mL vial (NDC 55150-222-10)",Currently backordered,"Present shipment 2nd week of May 2020, next shipment mid- to late-June 2020",Demand increase for the drug
Famotidine Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Famotidine Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Famotidine Injection detail"">Famotidine Injection</a>","Famotidine Injection premix, 20mg/50 mL in GALAXY Plastic Container (NDC 0338-5197-41)",Available – backorders due to high demand.  Recovery expected Q3 2020.,,Demand increase for the drug
Famotidine Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Famotidine Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Famotidine Tablets detail"">Famotidine Tablets</a>",20 mg Bottle of 100 counts (NDC 62332-001-31),Available,,
Famotidine Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Famotidine Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Famotidine Tablets detail"">Famotidine Tablets</a>",20 mg Bottle of 1000 counts (NDC 62332-001-91),Available,,
Famotidine Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Famotidine Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Famotidine Tablets detail"">Famotidine Tablets</a>",40 mg Bottle of 100 counts (NDC 62332-002-31),Available,,
Famotidine Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Famotidine Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Famotidine Tablets detail"">Famotidine Tablets</a>",40 mg Bottle of 500 counts (NDC 62332-002-71),Available,,
Famotidine Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Famotidine Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Famotidine Tablets detail"">Famotidine Tablets</a>",40 mg Bottle of 1000 counts (NDC 62332-002-91),Available,,
Fentanyl Citrate (Sublimaze) Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Fentanyl Citrate (Sublimaze) Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Fentanyl Citrate (Sublimaze) Injection detail"">Fentanyl Citrate (Sublimaze) Injection</a>",2 mL ampule 10 pack (NDC 17478-0030-02),Available,,Other
Fentanyl Citrate (Sublimaze) Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Fentanyl Citrate (Sublimaze) Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Fentanyl Citrate (Sublimaze) Injection detail"">Fentanyl Citrate (Sublimaze) Injection</a>",2 mL ampule; 25 pack (NDC 17478-0030-25),Available,,Other
Fentanyl Citrate (Sublimaze) Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Fentanyl Citrate (Sublimaze) Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Fentanyl Citrate (Sublimaze) Injection detail"">Fentanyl Citrate (Sublimaze) Injection</a>",5 mL ampule 10 pack (NDC 17478-0030-05),Available,,Other
Fentanyl Citrate (Sublimaze) Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Fentanyl Citrate (Sublimaze) Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Fentanyl Citrate (Sublimaze) Injection detail"">Fentanyl Citrate (Sublimaze) Injection</a>",20 mL ampule (NDC 17478-0030-20),Available,,Other
Fentanyl Citrate (Sublimaze) Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Fentanyl Citrate (Sublimaze) Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Fentanyl Citrate (Sublimaze) Injection detail"">Fentanyl Citrate (Sublimaze) Injection</a>",5 mL ampule 25 pack (NDC 17478-0030-55),Available,,Other
Fludrocortisone Acetate Tablets,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Fludrocortisone Acetate Tablets&amp;st=r&amp;tab=tabs-1"" title=""Link to Fludrocortisone Acetate Tablets detail"">Fludrocortisone Acetate Tablets</a>",,,,
Fluorescein Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Fluorescein Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Fluorescein Injection detail"">Fluorescein Injection</a>","AK-FLUOR® (fluorescein injection, USP) 10%, 100 mg/mL in a 5 mL single use vial (NDC 17478-253-10)",Available,Continue to allocate available inventory,Shortage of an active ingredient
Fluorescein Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Fluorescein Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Fluorescein Injection detail"">Fluorescein Injection</a>","AK-FLUOR® (fluorescein injection, USP) 25%, 250 mg/mL in a 2 mL single use vial (NDC 17478-250-20)",Available,Continue to allocate available inventory,Shortage of an active ingredient
Fluorescein Sodium and Benoxinate Hydrochloride Ophthalmic Solution,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Fluorescein Sodium and Benoxinate Hydrochloride Ophthalmic Solution&amp;st=r&amp;tab=tabs-1"" title=""Link to Fluorescein Sodium and Benoxinate Hydrochloride Ophthalmic Solution detail"">Fluorescein Sodium and Benoxinate Hydrochloride Ophthalmic Solution</a>",,,,
Fluorescein Strips,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Fluorescein Strips&amp;st=c&amp;tab=tabs-1"" title=""Link to Fluorescein Strips detail"">Fluorescein Strips</a>",Ful-Glo 1.0 mg 100 sterile strips (NDC 17478-404-01),On backorder,Availability Q12020,Other
Fluorescein Strips,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Fluorescein Strips&amp;st=c&amp;tab=tabs-1"" title=""Link to Fluorescein Strips detail"">Fluorescein Strips</a>",Ful-Glo 0.6 mg 300 sterile strips (NDC 17478-403-03),On backorder,Availability Q12020,Other
Flurazepam Hydrochloride Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Flurazepam Hydrochloride Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Flurazepam Hydrochloride Capsules detail"">Flurazepam Hydrochloride Capsules</a>",Flurazepam HCl 15mg C 100s (NDC 0378-4415-01),Available,,Other
Flurazepam Hydrochloride Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Flurazepam Hydrochloride Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Flurazepam Hydrochloride Capsules detail"">Flurazepam Hydrochloride Capsules</a>",Flurazepam HCl 30mg C 100s (NDC 0378-4430-01),Available,,Other
Fluvoxamine ER Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Fluvoxamine ER Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Fluvoxamine ER Capsules detail"">Fluvoxamine ER Capsules</a>",100 mg. 30’s count (NDC 10370-175-11),On backorder. Estimated availability end of April 2020,,Delay in shipping of the drug
Fluvoxamine ER Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Fluvoxamine ER Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Fluvoxamine ER Capsules detail"">Fluvoxamine ER Capsules</a>",150 mg. 30’s count (NDC 10370-176-11),On backorder. Estimated availability end of April 2020,,Delay in shipping of the drug
"Furosemide Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Furosemide Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Furosemide Injection, USP detail"">Furosemide Injection, USP</a>",20 mg/2 mL single-dose vial (NDC 55150-322-25_,Backordered — next shipment anticipated late May 2020.,Intermittent availability expected.,Delay in shipping of the drug
"Furosemide Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Furosemide Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Furosemide Injection, USP detail"">Furosemide Injection, USP</a>",40 mg/4 mL single-dose vial (NDC 55150-323-25),Backordered — next shipment anticipated late May 2020.,Intermittent availability expected.,Delay in shipping of the drug
"Furosemide Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Furosemide Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Furosemide Injection, USP detail"">Furosemide Injection, USP</a>",100 mg/10 mL single-dose vial (NDC 55150--324-25),Backordered — next shipment anticipated late May 2020.,Intermittent availability expected.,Delay in shipping of the drug
Gemifloxacin Mesylate (Factive) Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Gemifloxacin Mesylate (Factive) Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Gemifloxacin Mesylate (Factive) Tablets detail"">Gemifloxacin Mesylate (Factive) Tablets</a>","320mg, 7 Tablets in 1 Blister Pack (NDC 44004-321-07)",Estimated recovery to be determined.,License to manufacture and distribute FACTIVE is under legal dispute.,Other
Gemifloxacin Mesylate (Factive) Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Gemifloxacin Mesylate (Factive) Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Gemifloxacin Mesylate (Factive) Tablets detail"">Gemifloxacin Mesylate (Factive) Tablets</a>","320mg, 5 Tablets in 1 Blister Pack (NDC 44004-321-05)",Estimated recovery to be determined.,License to manufacture and distribute FACTIVE is under legal dispute.,Other
Guanfacine Hydrochloride Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Guanfacine Hydrochloride Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Guanfacine Hydrochloride Tablets detail"">Guanfacine Hydrochloride Tablets</a>",1 mg bottles of 30 (NDC 65162-711-03); 1 mg bottles of 100 (NDC 65162-711-10),Available,,Other
Guanfacine Hydrochloride Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Guanfacine Hydrochloride Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Guanfacine Hydrochloride Tablets detail"">Guanfacine Hydrochloride Tablets</a>",2 mg bottles of 30 (NDC 65162-713-03); 2 mg bottles of 100 (NDC 65162-713-10); 2 mg bottles of 500 (NDC 65162-713-50),Available,,Other
Haloperidol Tablets,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Haloperidol Tablets&amp;st=r&amp;tab=tabs-1"" title=""Link to Haloperidol Tablets detail"">Haloperidol Tablets</a>",,,,
Heparin Sodium and Sodium Chloride 0.9% Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Heparin Sodium and Sodium Chloride 0.9per Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Heparin Sodium and Sodium Chloride 0.9% Injection detail"">Heparin Sodium and Sodium Chloride 0.9% Injection</a>","Heparin Sodium BP 2,000 IU/L  in 0.9% w/v Sodium Chloride IV Infusion in VIAFLEX container  (1,000 units / 500 mL)  Product code FKB0953G (NDC 0338-9556-20)",Available,"Baxter Healthcare Corporation in conjunction with FDA has initiated temporary importation of Heparin IV Infusion into the U.S. market to address drug shortages. 
    
        Dear Health Care Letter, United Kingdom",
Heparin Sodium and Sodium Chloride 0.9% Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Heparin Sodium and Sodium Chloride 0.9per Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Heparin Sodium and Sodium Chloride 0.9% Injection detail"">Heparin Sodium and Sodium Chloride 0.9% Injection</a>","Heparin Sodium and 0.9% Sodium Chloride Injection in VIAFLEX Plus Plastic Container: 2,000 USP units in 1000 mL.  Product code 2B0944  (NDC 0338-0433-04)",Available,,
Heparin Sodium and Sodium Chloride 0.9% Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Heparin Sodium and Sodium Chloride 0.9per Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Heparin Sodium and Sodium Chloride 0.9% Injection detail"">Heparin Sodium and Sodium Chloride 0.9% Injection</a>","Heparin Sodium and 0.9% Sodium Chloride Injection in VIAFLEX Plus Plastic Container: 1,000 USP units in 500 mL.  Product code 2B0953 (NDC 0338-0431-03)",Unavailable,Product code 2B0953 was replaced with code AHB0953U,Other
Heparin Sodium and Sodium Chloride 0.9% Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Heparin Sodium and Sodium Chloride 0.9per Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Heparin Sodium and Sodium Chloride 0.9% Injection detail"">Heparin Sodium and Sodium Chloride 0.9% Injection</a>","Heparin Sodium and 0.9% Sodium Chloride Injection, 1,000 units / 500 mL (2 units / mL) in VIAFLEX Plastic Container.  AHB0953U  (NDC 0338-0424-18)",Available,,
"Hydrocortisone Tablets, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Hydrocortisone Tablets, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Hydrocortisone Tablets, USP detail"">Hydrocortisone Tablets, USP</a>",100mg/100 count (NDC 00115-1697-01),Unavailable,,Limited API availability
"Hydrocortisone Tablets, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Hydrocortisone Tablets, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Hydrocortisone Tablets, USP detail"">Hydrocortisone Tablets, USP</a>",20mg/100 count (NDC 00115-1700-01),Limited availability,,Limited API availability
"Hydromorphone Hydrochloride Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Hydromorphone Hydrochloride Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Hydromorphone Hydrochloride Injection, USP detail"">Hydromorphone Hydrochloride Injection, USP</a>","10 mg/mL, 1 mL ampule, 10 count (NDC 17478-0540-01)",Unavailable. Estimataed recovery Dec 2019,"Expected availability Dec, 2019",Demand increase for the drug
"Hydromorphone Hydrochloride Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Hydromorphone Hydrochloride Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Hydromorphone Hydrochloride Injection, USP detail"">Hydromorphone Hydrochloride Injection, USP</a>","10 mg/mL, 5 mL ampule, 10 count (NDC 17478-0540-05)",Available,,Demand increase for the drug
"Hydromorphone Hydrochloride Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Hydromorphone Hydrochloride Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Hydromorphone Hydrochloride Injection, USP detail"">Hydromorphone Hydrochloride Injection, USP</a>","10 mg/mL, 50 mL vial, 10 count (NDC 17478-0540-50)",Available,,Demand increase for the drug
Hydroxychloroquine Sulfate Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Hydroxychloroquine Sulfate Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Hydroxychloroquine Sulfate Tablets detail"">Hydroxychloroquine Sulfate Tablets</a>","200 mg, 100 count bottle (NDC 57664-761-88); 500 count bottle (NDC 57664-761-13)",Limited availability,Distributed by Sun Pharmaceuticals,Delay in shipping of the drug
Hydroxychloroquine Sulfate Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Hydroxychloroquine Sulfate Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Hydroxychloroquine Sulfate Tablets detail"">Hydroxychloroquine Sulfate Tablets</a>","200 mg, 500 count bottle (NDC 57664-761-13)",Limited availability,Distributed by Sun Pharmaceutical,Delay in shipping of the drug
Hydroxyprogesterone Caproate Injection,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Hydroxyprogesterone Caproate Injection&amp;st=r&amp;tab=tabs-1"" title=""Link to Hydroxyprogesterone Caproate Injection detail"">Hydroxyprogesterone Caproate Injection</a>",,,,
Hydroxypropyl (Lacrisert) Cellulose Ophthalmic Insert,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Hydroxypropyl (Lacrisert) Cellulose Ophthalmic Insert&amp;st=c&amp;tab=tabs-1"" title=""Link to Hydroxypropyl (Lacrisert) Cellulose Ophthalmic Insert detail"">Hydroxypropyl (Lacrisert) Cellulose Ophthalmic Insert</a>","Lacrisert, 5 mg per ophthalmic insert, 60 unit dose blister pack (NDC 24208-800-60)","Product is on back order, estimated release not sooner than December 2020",Product is on back order due to manufacturing interruptions; capacity impacted due to COVID-19 Pandemic,Other
Hydroxyzine Pamoate Oral Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Hydroxyzine Pamoate Oral Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Hydroxyzine Pamoate Oral Capsules detail"">Hydroxyzine Pamoate Oral Capsules</a>",Hydroxyzine Pamoate Caps 25 mg 100 count (NDC 14539-674-01),Available,,Other
Hydroxyzine Pamoate Oral Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Hydroxyzine Pamoate Oral Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Hydroxyzine Pamoate Oral Capsules detail"">Hydroxyzine Pamoate Oral Capsules</a>",Hydroxyzine Pamoate Caps 25 mg 500 count (NDC 14539-674-05),Available,,Other
Hydroxyzine Pamoate Oral Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Hydroxyzine Pamoate Oral Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Hydroxyzine Pamoate Oral Capsules detail"">Hydroxyzine Pamoate Oral Capsules</a>",Hydroxyzine Pamoate Caps 50 mg 100 count (NDC 14539-675-01),Available,,Other
Hydroxyzine Pamoate Oral Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Hydroxyzine Pamoate Oral Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Hydroxyzine Pamoate Oral Capsules detail"">Hydroxyzine Pamoate Oral Capsules</a>",Hydroxyzine Pamoate Caps 50 mg 500 count (NDC 14539-675-05),Available,,Other
"Imipenem and Cilastatin for Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Imipenem and Cilastatin for Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Imipenem and Cilastatin for Injection, USP detail"">Imipenem and Cilastatin for Injection, USP</a>","250 mg/250 mg per vial, single dose vial, sterile powder (NDC 63323-349-25)",Backordered. Next release date not available at this time.,Check wholesalers for inventory,Delay in shipping of the drug
"Imipenem and Cilastatin for Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Imipenem and Cilastatin for Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Imipenem and Cilastatin for Injection, USP detail"">Imipenem and Cilastatin for Injection, USP</a>","500 mg/500 mg per vial, single dose vial, sterile powder (NDC  63323-322-25)",Available,Check wholesaler inventory,Delay in shipping of the drug
Isocarboxazid Tablets,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Isocarboxazid Tablets&amp;st=r&amp;tab=tabs-1"" title=""Link to Isocarboxazid Tablets detail"">Isocarboxazid Tablets</a>",,,,
Ketamine Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Ketamine Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Ketamine Injection detail"">Ketamine Injection</a>","50 mg/mL, 10 mL vial (NDC 0143-9508-10)",Inventory is currently available.,Additional lots are scheduled to be manufactured. Product will be made available as it is released.,Demand increase for the drug
Ketamine Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Ketamine Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Ketamine Injection detail"">Ketamine Injection</a>","100 mg/mL, 5 mL vial (NDC 0143-9509-10)",This presentation is temporarily on backorder.,Additional lots are scheduled to be manufactured in the May - June 2020 timeframe.  Product will be made available as it is released.,
Ketoprofen Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Ketoprofen Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Ketoprofen Capsules detail"">Ketoprofen Capsules</a>","25 mg, 100 count bottle (NDC 69336-127-10)",Available,"Marketed by Sterling Knight Pharmaceuticals, LLC. Contact information: 662-661-3232.",
Ketoprofen Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Ketoprofen Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Ketoprofen Capsules detail"">Ketoprofen Capsules</a>","25 mg, 1000 count bottle (NDC 69336-127-11)",Available,"Marketed by Sterling Knight Pharmaceuticals, LLC. Contact information: 662-661-3232.",
Ketoprofen Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Ketoprofen Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Ketoprofen Capsules detail"">Ketoprofen Capsules</a>","25 mg, 100 count bottle (NDC 23155-020-01)",Unavailable - Discontinuation of the manufacture of the drug,Link to Discontinuance,
Ketoprofen Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Ketoprofen Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Ketoprofen Capsules detail"">Ketoprofen Capsules</a>","25 mg, 1000 count bottle (NDC 23155-020-10)",Unavailable - Discontinuation of the manufacture of the drug,Link to Discontinuance,
Ketorolac Tromethamine Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Ketorolac Tromethamine Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Ketorolac Tromethamine Injection detail"">Ketorolac Tromethamine Injection</a>","Ketorolac Tromethamine Injection, USP, 30 mg/ mL.  Single dose glass flip top vial - 25 units per carton (NDC 0338-0072-25)",Unavailable (anticipate delivery in March 2020),FOR INTRAVENOUS AND INTRAMUSCULAR USE. 30mg/mL (1 mL fill volume/ 2 mL container),Demand increase for the drug
Ketorolac Tromethamine Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Ketorolac Tromethamine Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Ketorolac Tromethamine Injection detail"">Ketorolac Tromethamine Injection</a>","Ketorolac Tromethamine Injection, USP, 15 mg/mL. Single dose glass flip top vial. 10 units per carton (NDC 0338-0069-10)",Available,FOR INTRAVENOUS AND INTRAMUSCULAR USE. 15 mg/mL (1 mL fill volume/ 2 mL container),Demand increase for the drug
Labetalol Hydrochloride Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Labetalol Hydrochloride Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Labetalol Hydrochloride Injection detail"">Labetalol Hydrochloride Injection</a>",5mg/mL (100mg/20mL) Multi-Dose vial (NDC 17478-420-20),Available,,Other
Labetalol Hydrochloride Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Labetalol Hydrochloride Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Labetalol Hydrochloride Injection detail"">Labetalol Hydrochloride Injection</a>",5mg/mL (200mg/40mL) Multi-Dose vial (NDC 17478-420-40 ),Available,,Other
Latanoprost Ophthalmic Solution 0.005%,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Latanoprost Ophthalmic Solution 0.005per&amp;st=r&amp;tab=tabs-1"" title=""Link to Latanoprost Ophthalmic Solution 0.005% detail"">Latanoprost Ophthalmic Solution 0.005%</a>",,,,
Letermovir (Prevymis) Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Letermovir (Prevymis) Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Letermovir (Prevymis) Injection detail"">Letermovir (Prevymis) Injection</a>",480 mg injection (NDC 0006-5004-01),Available,"Notice of *New* Requirement to Administer Through a 0.2 Micron Polyethersulfone (PES) In-Line Filter
Dear Health Care Provider Letter",Other
Letermovir (Prevymis) Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Letermovir (Prevymis) Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Letermovir (Prevymis) Injection detail"">Letermovir (Prevymis) Injection</a>",240 mg injection (NDC 0006-5003-01),Available,"Dear Health Care Provider Letter
Notice of *New* Requirement to Administer Through a 0.2 Micron Polyethersulfone (PES) In-Line Filter",Other
Leucovorin Calcium Lyophilized Powder for Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Leucovorin Calcium Lyophilized Powder for Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Leucovorin Calcium Lyophilized Powder for Injection detail"">Leucovorin Calcium Lyophilized Powder for Injection</a>",200 mg SDV (NDC 63323-710-50),Available,Check Wholesaler Inventory,Demand increase for the drug
Leucovorin Calcium Lyophilized Powder for Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Leucovorin Calcium Lyophilized Powder for Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Leucovorin Calcium Lyophilized Powder for Injection detail"">Leucovorin Calcium Lyophilized Powder for Injection</a>",500 mg SDV (NDC 63323-711-00),Backordered. Next release May 2020.,Check Wholesaler Inventory,Manufacturing delay
Leucovorin Calcium Lyophilized Powder for Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Leucovorin Calcium Lyophilized Powder for Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Leucovorin Calcium Lyophilized Powder for Injection detail"">Leucovorin Calcium Lyophilized Powder for Injection</a>","500 mg per 50 mL (10 mg per mL) Single dose amber vial, liquid (NDC 63323-631-50)",Backordered. Next release July 2020.,Check Wholesaler Inventory,Manufacturing Delay
Leuprolide Acetate (Lupron Depot; Lupron Depot Ped) Injection,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Leuprolide Acetate (Lupron Depot; Lupron Depot Ped) Injection&amp;st=r&amp;tab=tabs-1"" title=""Link to Leuprolide Acetate (Lupron Depot; Lupron Depot Ped) Injection detail"">Leuprolide Acetate (Lupron Depot; Lupron Depot Ped) Injection</a>",,,,
"Levetiracetam Extended-Release Oral Tablets, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Levetiracetam Extended-Release Oral Tablets, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Levetiracetam Extended-Release Oral Tablets, USP detail"">Levetiracetam Extended-Release Oral Tablets, USP</a>",Levetiracetam Extended-Release Tablets 500 mg (60 ct. bottle)(NDC 60505-3280-06),Available,,Demand increase for the drug
"Levetiracetam Extended-Release Oral Tablets, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Levetiracetam Extended-Release Oral Tablets, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Levetiracetam Extended-Release Oral Tablets, USP detail"">Levetiracetam Extended-Release Oral Tablets, USP</a>",Levetiracetam Extended-Release Tablets 750 mg (60 ct. bottle)(NDC 60505-3517-06),Available,,Demand increase for the drug
"Levetiracetam Immediate-Release Oral Tablets, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Levetiracetam Immediate-Release Oral Tablets, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Levetiracetam Immediate-Release Oral Tablets, USP detail"">Levetiracetam Immediate-Release Oral Tablets, USP</a>","250mg, 120 count (NDC 65862024508)",Available,,
